IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2022,TRUE,,,,,,,,,,,,,1674,,,,,,1674,,,EN,2024-05-19T21:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,AFR,Africa,Country,MWI,Malawi,Year,2022,TRUE,,,,,,,,,,,,,2,,,,,,2,,,EN,2024-05-19T21:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,AFR,Africa,Country,TCD,Chad,Year,2022,TRUE,,,,,,,,,,,,,21983,,,,,,21 983,,,EN,2024-05-19T21:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,AFR,Africa,Country,MOZ,Mozambique,Year,2022,TRUE,,,,,,,,,,,,,3,,,,,,3,,,EN,2024-05-19T21:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,AFR,Africa,Country,CMR,Cameroon,Year,2022,TRUE,,,,,,,,,,,,,5,,,,,,5,,,EN,2024-05-19T21:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,EUR,Europe,Country,ISR,Israel,Year,2022,TRUE,,,,,,,,,,,,,6500,,,,,,6500,,,EN,2024-05-19T21:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,AFR,Africa,Country,ZAF,South Africa,Year,2022,TRUE,,,,,,,,,,,,,9,,,,,,9,,Value obtained from Professionally Active,EN,2024-05-19T21:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2021,FALSE,,,,,,,,,,,,,109,,,,,,109,,,EN,2024-05-19T21:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,EUR,Europe,Country,ISR,Israel,Year,2021,FALSE,,,,,,,,,,,,,1800,,,,,,1800,,,EN,2024-05-19T21:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2021,TRUE,,,,,,,,,,,,,209,,,,,,209,,,EN,2024-05-19T21:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,AMR,Americas,Country,BOL,Bolivia (Plurinational State of),Year,2021,TRUE,,,,,,,,,,,,,22,,,,,,22,,Value obtained from Professionally Active,EN,2024-05-19T21:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,SEAR,South-East Asia,Country,LKA,Sri Lanka,Year,2021,TRUE,,,,,,,,,,,,,2700,,,,,,2700,,,EN,2024-05-19T21:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2021,TRUE,,,,,,,,,,,,,4833,,,,,,4833,,,EN,2024-05-19T21:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,AFR,Africa,Country,BFA,Burkina Faso,Year,2021,TRUE,,,,,,,,,,,,,50,,,,,,50,,,EN,2024-05-19T21:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,AFR,Africa,Country,GHA,Ghana,Year,2021,TRUE,,,,,,,,,,,,,7,,,,,,7,,,EN,2024-05-19T21:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,SEAR,South-East Asia,Country,NPL,Nepal,Year,2021,TRUE,,,,,,,,,,,,,848,,,,,,848,,Value obtained from Licensed to Practice,EN,2024-05-19T21:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,SEAR,South-East Asia,Country,MDV,Maldives,Year,2020,TRUE,,,,,,,,,,,,,1,,,,,,1,,,EN,2024-05-19T21:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,AMR,Americas,Country,BOL,Bolivia (Plurinational State of),Year,2020,FALSE,,,,,,,,,,,,,17,,,,,,17,,Value obtained from Professionally Active,EN,2024-05-19T21:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,EUR,Europe,Country,ISR,Israel,Year,2020,FALSE,,,,,,,,,,,,,1800,,,,,,1800,,,EN,2024-05-19T21:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2020,FALSE,,,,,,,,,,,,,243,,,,,,243,,,EN,2024-05-19T21:00:00.000Z
HWF_0023,Traditional and Complementary Medicine Professionals  (number),numeric,AFR,Africa,Country,CMR,Cameroon,Year,2020,FALSE,,,,,,,,,,,,,3,,,,,,3,,,EN,2024-05-19T21:00:00.000Z
